seqnum,StationNumber,Latitude,Longitude,Elevation,StationName                             ,Who_entered,use_index,source_seqnum,country_seqnum
1400081,23215,47.8328,17.4583,116,Hédervár                                ,7,1,116,205
1400082,23215,47.8328,17.4583,116,Hédervár                                ,7,1,116,205
1400083,23216,47.9331,17.2758,123,Feketeerdő                              ,7,1,116,205
1400084,23216,47.9331,17.2758,123,Feketeerdő                              ,7,1,116,205
1400085,23217,47.8897,17.2675,119.8,Mosonmagyaróvár Kuti-telep              ,7,1,116,205
1400086,23217,47.8897,17.2675,119.8,Mosonmagyaróvár Kuti-telep              ,7,1,116,205
1400087,23218,47.97,17.2828,125,Dunakiliti                              ,7,1,116,205
1400088,23500,47.7831,17.1347,119,Jánossomorja                            ,7,1,116,205
1400089,23505,47.6858,17.2456,116,Bősárkány                               ,7,1,116,205
1400090,23505,47.6858,17.2456,116,Bősárkány                               ,7,1,116,205
1400091,23600,47.6742,17.3203,113,Markotabödöge                           ,7,1,116,205
1400092,23600,47.6742,17.3203,113,Markotabödöge                           ,7,1,116,205
1400093,23603,47.7322,17.4992,116,Öttevény                                ,7,1,116,205
1400094,23603,47.7322,17.4992,116,Öttevény                                ,7,1,116,205
1400095,23713,47.6875,17.6344,119.9,Győr Belváros                           ,7,1,116,205
1400096,23713,47.6875,17.6344,119.9,Győr Belváros                           ,7,1,116,205
1400097,23715,47.71,17.6747,116,Győr Likócs Pesti út                    ,7,1,116,205
1400098,23715,47.71,17.6747,116,Győr Likócs Pesti út                    ,7,1,116,205
1400099,24111,47.6036,17.2494,116.2,Csorna                                  ,7,1,116,205
1400100,24111,47.6036,17.2494,116.2,Csorna                                  ,7,1,116,205
1400101,24117,47.5181,17.0061,131,Himod                                   ,7,1,116,205
1400102,24117,47.5181,17.0061,131,Himod                                   ,7,1,116,205
1400103,24121,47.5864,17.1247,119,Szárföld                                ,7,1,116,205
1400104,24122,47.6039,17.2494,117,Csorna                                  ,7,1,116,205
1400105,24308,47.5906,17.5794,120,Győrszemere Nagyszentpál                ,7,1,116,205
1400106,24308,47.5906,17.5794,120,Győrszemere Nagyszentpál                ,7,1,116,205
1400107,24419,47.5206,17.75,149,Ravazd                                  ,7,1,116,205
1400108,24420,47.5092,17.9219,184,Bársonyos                               ,7,1,116,205
1400109,24505,47.4011,17.0142,142,Nick Rákóczi utca                       ,7,1,116,205
1400110,24505,47.4011,17.0142,142,Nick Rákóczi utca                       ,7,1,116,205
1400111,24506,47.4636,17.0981,131,Beled                                   ,7,1,116,205
1400112,24513,47.4769,17.1722,127.7,Páli                                    ,7,1,116,205
1400113,24513,47.4769,17.1722,127.7,Páli                                    ,7,1,116,205
1400114,24513,47.4769,17.1722,127.7,Páli                                    ,7,1,116,205
1400115,24602,47.4319,17.3697,122,Marcaltő                                ,7,1,116,205
1400116,24602,47.4319,17.3697,122,Marcaltő                                ,7,1,116,205
1400117,24610,47.3564,17.4939,144,Pápa Irányítótorony                     ,7,1,116,205
1400118,24710,47.4289,17.7472,153,Gic                                     ,7,1,116,205
1400119,24710,47.4289,17.7472,153,Gic                                     ,7,1,116,205
